1	-0.569900	0.495624	-0.000371
2	-0.469902	0.495645	-0.000251
3	-0.369886	0.495668	-0.000143
4	-0.269880	0.495687	-0.000032
5	-0.669899	0.397951	-0.000313
6	-0.569880	0.397975	-0.000203
7	-0.469894	0.397987	-0.000079
8	-0.369868	0.398003	0.000025
9	-0.269860	0.398032	0.000144
10	-0.669880	0.297952	-0.000128
11	-0.569860	0.297970	-0.000012
12	-0.469859	0.297997	0.000087
13	-0.369841	0.298013	0.000206
14	-0.269837	0.298028	0.000318
15	-0.669864	0.197961	0.000029
16	-0.569833	0.197972	0.000158
17	-0.469830	0.197994	0.000275
18	-0.369827	0.198005	0.000384
19	-0.269822	0.198030	0.000491
20	-0.469811	0.097993	0.000453
21	-0.469798	-0.002005	0.000622
22	-0.669811	-0.102044	0.000565
23	-0.569782	-0.102021	0.000680
24	-0.469770	-0.101997	0.000801
25	-0.369768	-0.101979	0.000916
26	-0.269756	-0.101965	0.001018
27	-0.669782	-0.202034	0.000752
28	-0.569755	-0.202022	0.000853
29	-0.469754	-0.202000	0.000984
30	-0.369745	-0.201978	0.001085
31	-0.269740	-0.201954	0.001200
32	-0.669776	-0.302041	0.000912
33	-0.569753	-0.302017	0.001030
34	-0.469747	-0.301992	0.001149
35	-0.369727	-0.301975	0.001275
36	-0.269718	-0.301965	0.001371
37	-0.569731	-0.402011	0.001196
38	-0.469732	-0.401985	0.001329
39	-0.369707	-0.401974	0.001446
40	-0.269704	-0.401951	0.001557
41	-0.169875	0.495714	0.000090
42	0.230189	0.495794	0.000527
43	-0.169840	0.398044	0.000239
44	-0.069844	0.398062	0.000353
45	0.030165	0.398093	0.000466
46	0.130178	0.398120	0.000581
47	0.230200	0.398122	0.000689
48	-0.169827	0.298043	0.000424
49	-0.069807	0.298066	0.000542
50	0.130198	0.298110	0.000759
51	0.230223	0.298132	0.000865
52	-0.069797	0.198066	0.000718
53	0.030214	0.198099	0.000826
54	0.130224	0.198114	0.000931
55	-0.169786	0.098061	0.000799
56	0.230255	0.098134	0.001226
57	-0.169772	-0.001948	0.000952
58	0.230280	-0.001867	0.001408
59	-0.069735	-0.101920	0.001236
60	0.130278	-0.101878	0.001460
61	-0.169732	-0.201944	0.001302
